pickup_node,dropoff_node,manhattan_distance,taxi_duration,bus_duration,buses,unique_buses,bus_ride_distance,walking_distance
5481883674,2687645210,2537,1027,1644,1,1,717,1629
4443775465,4550600353,1679,328,822,1,1,1280,372
4235733234,4132605229,1256,120,788,0,0,0,946
42430241,42436575,1648,156,1001,1,1,718,857
42444414,3874653366,4547,660,3476,2,2,3247,2613
4207912629,4320194274,4094,960,2278,2,2,2032,1758
5730369217,4634276416,239,639,164,0,0,0,197
4234425033,42430292,1404,475,963,0,0,0,1155
42436779,2034011063,3415,420,2036,1,1,717,2099
4235738201,2895163400,5060,741,3121,1,1,635,3441
42442895,42434418,6147,807,3720,1,1,2849,3097
42457697,4298961520,2664,540,1816,1,1,898,1749
5416901181,5286255072,1500,240,983,1,1,1098,652
4763900908,42429842,5470,900,3452,1,1,2360,3010
3971302314,5151708184,6062,1527,3344,1,1,1810,3144
4320028808,596775907,5553,1312,3412,2,2,1186,3525
3573482144,42448811,1626,420,1201,0,0,0,1441
4631139783,4597668041,1529,276,1042,2,2,697,916
42428476,5215013216,4317,697,2825,3,2,2701,2093
42429664,1692433919,2907,720,1836,2,1,1357,1551
4960503208,3977886870,1605,431,1344,1,1,849,1205
3977886242,42445411,2443,1007,1792,0,0,0,2151
4755831440,42457721,1578,300,1420,1,1,1091,1180
4711654700,1633185362,1610,300,1239,1,1,1833,607
4216045836,42437082,1266,197,734,1,1,912,443
3875000770,42433620,2153,480,1778,1,1,1376,1473
1805328855,5235625475,7194,600,4267,3,3,3681,3353
3762705787,4741335333,1156,622,856,1,1,764,660
42442288,42440815,1527,285,940,0,0,0,1128
3009534483,3955360021,1824,436,1256,0,0,0,1507
4132605272,4117109189,2073,420,1314,1,1,583,1297
1773069828,5362205528,2289,480,1438,0,0,0,1726
3420766637,42428379,4005,939,2363,2,2,1871,1938
42453607,42443612,5322,840,4073,2,2,2799,3544
4143835707,42435610,5027,613,2934,2,2,2192,2469
42444051,42442898,1773,240,1253,1,1,1021,1013
42430277,348152928,3636,293,2629,0,0,0,3155
1773121031,4216045830,775,317,804,0,0,0,965
5783020910,4298757077,1464,240,874,1,1,912,611
42437663,4841945994,2893,480,1866,1,1,1917,1319
4115878742,4322008120,2430,528,1881,1,1,1407,1582
42430274,2704112725,1775,840,1115,1,1,826,942
2665380689,42439823,4437,300,2731,2,2,1522,2547
42428433,3627218179,2490,565,1358,1,1,1153,1075
42438674,42435642,737,240,763,0,0,0,915
2639531755,42454378,2641,840,1923,1,1,2002,1347
3971302313,4276525587,3196,1232,1984,1,1,1407,1706
3236082431,42437084,1939,360,1126,1,1,912,913
42453777,4298781037,3400,953,2218,2,2,2288,1563
42435420,5357086127,1879,420,1581,1,1,983,1426
42433611,3276524465,3198,755,1773,0,0,0,2127
5849918502,42443811,3262,686,2154,2,2,1122,2046
42434855,4375703337,1659,240,1145,0,0,0,1374
42435660,1745991210,948,240,782,0,0,0,938
4205565508,5784502859,1378,308,942,0,0,0,1131
3833309821,5007384481,1970,720,1280,1,1,826,1139
4207957613,4782442668,1134,352,1059,0,0,0,1271
3875091621,5829844677,1234,660,986,1,1,587,901
3463816118,42430589,3847,480,2384,1,1,1266,2253
4960503202,42430344,1494,1128,1054,0,0,0,1264
3564892572,1993431127,2470,434,2160,0,0,0,2592
42434951,2671114110,2312,454,1559,0,0,0,1871
42436400,805764998,5172,600,2927,1,1,1221,2926
42446528,4234425025,2116,402,1310,1,1,583,1292
3971302311,1760566994,2204,622,1614,1,1,1985,984
3627218178,42437096,1282,615,1231,1,1,566,1205
3955360017,42434800,1621,338,1061,0,0,0,1274
42446935,3977886246,2083,631,1649,0,0,0,1979
4555838659,4234425028,1656,300,1174,0,0,0,1409
4597668026,42442898,1280,240,1059,1,1,583,992
42436069,5815643351,1324,278,993,0,0,0,1191
4763882045,387185037,1443,360,955,0,0,0,1146
42447249,42456583,1356,300,1008,1,1,717,866
3944708053,5815643352,7886,1069,4746,2,2,2890,4308
42444049,5235625496,1777,1380,1438,1,1,1168,1166
42429830,3977886231,7639,951,4483,1,1,2947,3965
4960527243,3971302314,497,240,307,1,1,716,24
3942050706,42445888,1646,420,948,1,1,558,870
5161079143,5235583558,4764,1140,3210,2,2,2029,2878
4216045853,4597668039,1646,420,1388,1,1,735,1312
42435654,4557517552,2547,720,1579,1,1,654,1581
3839412209,42440323,1340,540,1248,0,0,0,1498
