pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2013-11-07 20:13:00,2013-11-07 20:20:25,-73.99565,40.73936,-74.00877,40.72888
2013-11-04 06:50:26,2013-11-04 06:55:36,-73.99397,40.75132,-73.97835,40.759792
2013-11-01 21:01:00,2013-11-01 21:05:00,-73.98959,40.74742,-73.97982,40.749493
2013-11-01 21:30:00,2013-11-01 21:32:00,-73.98788,40.754612,-73.99113,40.750416
2013-11-02 01:06:00,2013-11-02 01:15:00,-73.98872,40.75876,-73.987045,40.748695
2013-11-07 21:50:24,2013-11-07 21:55:47,-73.98875,40.748917,-73.99586,40.759502
2013-11-07 22:17:32,2013-11-07 22:28:56,-73.98533,40.72737,-73.99188,40.744225
2013-11-03 01:37:00,2013-11-03 01:42:00,-73.98232,40.742752,-73.99683,40.753635
2013-11-07 12:30:00,2013-11-07 12:36:00,-73.994255,40.750954,-74.0027,40.75605
2013-11-02 17:58:00,2013-11-02 18:07:00,-73.98923,40.759315,-73.98046,40.75337
2013-11-06 07:44:00,2013-11-06 07:48:00,-73.97576,40.75207,-73.98525,40.741356
2013-11-06 20:55:00,2013-11-06 21:03:00,-73.97833,40.750286,-73.99124,40.727947
2013-11-04 18:13:58,2013-11-04 18:26:05,-73.98341,40.744358,-73.99163,40.748734
2013-11-04 07:53:15,2013-11-04 07:58:12,-73.98815,40.723766,-73.97501,40.741756
2013-11-03 05:52:40,2013-11-03 05:57:57,-73.997826,40.73616,-73.98072,40.760223
2013-11-02 12:15:00,2013-11-02 12:25:00,-73.99553,40.741096,-73.979576,40.762684
2013-11-05 16:23:00,2013-11-05 16:52:00,-73.993614,40.736095,-73.98378,40.74158
2013-11-03 09:32:11,2013-11-03 09:41:04,-73.99542,40.75456,-74.00234,40.719704
2013-11-07 22:46:09,2013-11-07 22:47:27,-74.00283,40.73259,-74.001015,40.731934
2013-11-03 15:29:00,2013-11-03 15:36:00,-73.9998,40.72682,-73.994606,40.740585
2013-11-04 17:37:00,2013-11-04 17:41:00,-73.99375,40.72907,-74.00548,40.727734
2013-11-02 00:55:49,2013-11-02 01:05:06,-73.99849,40.73218,-73.99715,40.713024
2013-11-05 08:48:34,2013-11-05 09:10:09,-73.99096,40.735043,-74.014694,40.71415
2013-11-02 17:50:00,2013-11-02 17:58:00,-73.981384,40.74935,-73.996376,40.73722
2013-11-07 18:25:00,2013-11-07 18:37:00,-73.97348,40.748566,-73.97481,40.748013
2013-11-01 18:06:00,2013-11-01 18:22:00,-74.00293,40.76028,-73.98964,40.750523
2013-11-03 21:05:00,2013-11-03 21:13:00,-73.985855,40.7579,-74.005104,40.74053
2013-11-05 23:34:00,2013-11-05 23:39:00,-73.97636,40.73997,-73.98848,40.734856
2013-11-02 01:07:00,2013-11-02 01:14:00,-73.983765,40.757053,-73.988495,40.75027
2013-11-06 20:22:00,2013-11-06 20:38:00,-73.994995,40.750027,-73.97145,40.75756
2013-11-04 22:54:02,2013-11-04 23:14:12,-74.00152,40.727802,-73.98054,40.74225
2013-11-01 03:24:00,2013-11-01 03:29:00,-73.99609,40.759556,-73.98359,40.762943
2013-11-04 09:59:00,2013-11-04 10:04:00,-73.97291,40.744736,-73.973366,40.748013
2013-11-07 05:41:51,2013-11-07 05:48:59,-73.9796,40.750496,-74.00153,40.741844
2013-11-03 00:04:52,2013-11-03 00:14:55,-73.98834,40.718666,-73.99825,40.733807
2013-11-01 01:34:45,2013-11-01 01:43:35,-73.99145,40.731915,-74.00631,40.70575
2013-11-03 08:03:00,2013-11-03 08:11:00,-73.98501,40.76049,-73.97582,40.748943
2013-11-07 12:39:00,2013-11-07 13:01:00,-74.01371,40.714993,-73.98758,40.74174
2013-11-04 09:15:02,2013-11-04 09:21:51,-73.98071,40.754105,-73.990105,40.74774
2013-11-02 22:35:00,2013-11-02 22:39:00,-73.99083,40.734188,-73.98237,40.727806
2013-11-03 07:38:04,2013-11-03 07:42:13,-73.99674,40.737526,-73.99132,40.74484
2013-11-03 01:13:00,2013-11-03 01:14:00,-73.99615,40.738487,-73.99246,40.743256
2013-11-03 02:32:00,2013-11-03 02:36:00,-73.98593,40.752655,-73.98939,40.764507
2013-11-05 20:05:55,2013-11-05 20:10:21,-74.00931,40.72979,-74.00578,40.720272
2013-11-04 12:19:00,2013-11-04 12:24:00,-73.9869,40.755684,-73.9717,40.76023
2013-11-01 13:48:00,2013-11-01 13:55:00,-73.98596,40.747036,-73.98051,40.74642
2013-11-07 16:13:44,2013-11-07 16:26:58,-73.994064,40.735806,-74.00207,40.72036
2013-11-03 07:31:43,2013-11-03 07:34:24,-73.99987,40.73814,-74.00634,40.73166
2013-11-05 07:10:27,2013-11-05 07:15:30,-74.00283,40.760464,-73.99025,40.75753
2013-11-05 23:15:54,2013-11-05 23:21:55,-73.99188,40.744354,-74.003815,40.72545
2013-11-01 13:54:57,2013-11-01 14:02:22,-73.99735,40.762352,-74.00814,40.74764
2013-11-01 15:37:00,2013-11-01 15:48:00,-73.98546,40.756657,-73.98946,40.740257
2013-11-06 20:32:00,2013-11-06 20:48:00,-73.97156,40.764492,-74.00614,40.743702
2013-11-05 17:23:44,2013-11-05 17:47:30,-74.01135,40.71074,-73.97587,40.753548
2013-11-05 10:07:00,2013-11-05 10:16:00,-74.00314,40.744114,-73.98572,40.741154
2013-11-06 15:57:10,2013-11-06 16:14:17,-74.00211,40.719067,-74.01193,40.70369
2013-11-06 23:35:29,2013-11-06 23:40:57,-73.99483,40.750126,-73.98656,40.75896
2013-11-03 16:10:00,2013-11-03 16:12:00,-73.98947,40.73023,-73.98442,40.737698
2013-11-04 06:02:40,2013-11-04 06:05:16,-73.99871,40.734905,-73.98764,40.741344
2013-11-02 18:53:00,2013-11-02 19:04:00,-74.00772,40.705738,-74.00792,40.746483
2013-11-07 15:16:00,2013-11-07 15:32:00,-73.971954,40.75023,-73.9999,40.734573
2013-11-01 17:40:41,2013-11-01 17:51:20,-74.005325,40.750713,-74.003555,40.7499
2013-11-06 22:24:27,2013-11-06 22:32:22,-73.981255,40.741608,-73.98936,40.748104
2013-11-01 00:08:00,2013-11-01 00:15:00,-74.00242,40.72492,-74.01425,40.70317
2013-11-04 20:08:17,2013-11-04 20:20:38,-73.988144,40.728745,-74.01233,40.70156
2013-11-01 09:34:50,2013-11-01 09:48:17,-73.97906,40.74057,-74.00716,40.706577
2013-11-04 14:54:00,2013-11-04 15:03:00,-73.99368,40.7282,-73.97677,40.739346
2013-11-03 11:31:00,2013-11-03 11:35:00,-73.99582,40.737236,-73.991684,40.726875
2013-11-06 13:39:00,2013-11-06 13:54:00,-73.98846,40.741077,-74.00715,40.706043
2013-11-06 11:48:58,2013-11-06 12:14:25,-73.97725,40.76265,-74.00319,40.72777
2013-11-05 13:07:21,2013-11-05 13:29:13,-74.002686,40.733646,-73.97224,40.76052
2013-11-01 22:07:00,2013-11-01 22:14:00,-73.989006,40.760086,-73.974754,40.756252
2013-11-06 09:53:50,2013-11-06 09:58:26,-73.991745,40.750336,-73.986465,40.74058
2013-11-02 11:53:39,2013-11-02 12:05:16,-73.9917,40.730915,-74.01602,40.710514
2013-11-06 08:50:00,2013-11-06 09:02:00,-74.00643,40.74443,-73.99582,40.726326
2013-11-07 21:15:44,2013-11-07 21:22:55,-73.9826,40.74821,-73.98227,40.7624
2013-11-07 11:24:18,2013-11-07 11:41:05,-73.97414,40.759853,-73.98175,40.74365
2013-11-03 12:02:00,2013-11-03 12:07:00,-74.0003,40.721397,-73.99896,40.734577
2013-11-03 00:19:00,2013-11-03 00:24:00,-73.98352,40.750298,-73.971245,40.75548
2013-11-03 18:30:01,2013-11-03 18:33:18,-73.98045,40.72628,-73.98664,40.719578
2013-11-03 01:26:00,2013-11-03 01:34:00,-73.99009,40.737118,-73.99191,40.7551
2013-11-01 05:29:00,2013-11-01 05:39:00,-74.013016,40.702614,-73.99076,40.750446
2013-11-07 10:00:48,2013-11-07 10:11:10,-74.01501,40.717068,-74.01149,40.70933
2013-11-03 12:28:34,2013-11-03 12:33:19,-74.00861,40.725994,-74.000565,40.718353
2013-11-05 07:34:33,2013-11-05 07:41:49,-73.98883,40.743816,-73.97882,40.752644
2013-11-01 08:45:00,2013-11-01 08:52:00,-73.98333,40.73895,-73.99489,40.72906
2013-11-07 00:42:00,2013-11-07 00:50:00,-73.99464,40.71961,-74.00513,40.70697
2013-11-02 21:11:13,2013-11-02 21:26:52,-73.98704,40.729546,-74.00928,40.71038
2013-11-02 09:58:00,2013-11-02 10:12:00,-73.98337,40.72199,-73.97258,40.761677
2013-11-02 12:10:30,2013-11-02 12:20:43,-74.01514,40.709316,-74.00001,40.743057
2013-11-03 18:56:00,2013-11-03 19:00:00,-73.97335,40.75259,-73.97885,40.740807
2013-11-03 23:51:21,2013-11-03 23:56:14,-73.991554,40.74481,-73.97579,40.765568
2013-11-03 01:23:24,2013-11-03 01:28:41,-73.99147,40.727425,-73.982864,40.726974
2013-11-06 21:14:00,2013-11-06 21:18:00,-73.9871,40.722385,-73.98044,40.730507
2013-11-06 16:06:00,2013-11-06 16:14:00,-73.996346,40.753407,-74.00446,40.733536
2013-11-06 06:33:59,2013-11-06 06:42:47,-73.98253,40.739605,-73.98497,40.759613
2013-11-02 00:56:00,2013-11-02 01:10:00,-73.9921,40.744125,-73.97635,40.740093
2013-11-04 17:29:00,2013-11-04 17:34:00,-73.98018,40.764164,-73.99936,40.73878
2013-11-03 01:20:52,2013-11-03 01:30:17,-74.00197,40.71959,-73.98843,40.731724
2013-11-01 00:05:00,2013-11-01 00:09:00,-74.00198,40.750816,-73.99409,40.75147
2013-11-05 09:43:48,2013-11-05 09:57:48,-73.987175,40.759323,-73.99235,40.739487
2013-11-05 18:41:50,2013-11-05 19:02:22,-73.97899,40.762432,-73.98811,40.740593
2013-11-02 01:43:00,2013-11-02 01:49:00,-73.97918,40.731113,-73.987175,40.719727
2013-11-04 19:09:51,2013-11-04 19:25:44,-74.00469,40.718815,-73.97869,40.729687
2013-11-03 20:10:00,2013-11-03 20:17:00,-73.99238,40.74847,-73.99065,40.732883
2013-11-01 21:59:00,2013-11-01 22:11:35,-73.988815,40.753525,-74.01159,40.765034
2013-11-06 07:33:34,2013-11-06 07:45:00,-73.99927,40.744114,-73.97596,40.7558
2013-11-05 01:02:00,2013-11-05 01:06:00,-74.005554,40.720093,-74.00102,40.73158
2013-11-07 07:30:00,2013-11-07 07:34:00,-73.990105,40.755993,-73.98321,40.759296
2013-11-05 17:39:54,2013-11-05 17:45:02,-74.002655,40.739643,-73.99649,40.731915
2013-11-06 07:54:00,2013-11-06 08:06:00,-73.988235,40.748314,-73.977036,40.73908
2013-11-01 09:54:26,2013-11-01 10:00:18,-73.98992,40.756573,-73.97973,40.759056
2013-11-07 10:11:00,2013-11-07 10:22:00,-73.98678,40.725754,-74.00053,40.72644
2013-11-05 22:51:00,2013-11-05 22:59:00,-73.98232,40.764824,-74.00692,40.74885
2013-11-07 08:53:50,2013-11-07 09:12:38,-73.99109,40.74978,-73.98278,40.756927
